;mae;mse;rmse;mape;n
SANSED06#B03Sd02;684.995375023305;469988.576162299;685.557128299531;0.522324378165754;5
SANSED06#B03Sd03;206.074369677047;59078.3751585193;243.060435197749;0.341456606474341;5
SANSED06#B04Sd01;309.606004951919;96100.0230222241;310.000037132617;0.375949269753101;5
SANSED06#B04Sd02;218.785712790364;56208.6758790812;237.08368960998;0.533645642873084;5
SANSED06#B04Sd03;102.970676974933;14637.310212853;120.984751984922;0.189132321291336;5
SANSED06#B05Sd01;31.0215533694841;1036.63136147733;32.1967601083918;0.287314516989049;5
SANSED06#B05Sd02;151.96153004681;23184.954943361;152.266066289771;4.81251236305178;5
SANSED06#C01Sd01;88.5686501912476;10617.7739483487;103.042583179716;0.0867785119746335;5
SANSED06#C01Sd02;34.7939189332001;2144.65070251412;46.3103735950609;0.0351609367301287;5
SANSED06#C01Sd03;170.691108872848;30683.4088203704;175.166802849085;0.156685932065816;5
SANSED06#C02Sd01;453.28901542455;219596.469523153;468.611213612258;0.474177357748931;5
SANSED06#C02Sd02;451.898533860743;204393.470241802;452.098960673216;1.67099942814747;5
SANSED06#C02Sd03;135.142457021446;30447.4111345906;174.491865525561;0.299832309463836;5
SANSED06#C03Sd01;87.4710734264836;9082.64765738052;95.3029257545671;0.366985151774526;5
SANSED06#C03Sd02;207.658299568497;43679.3223332175;208.995986404566;1.43569055523716;5
SANSED06#C03Sd03;6.09387530389975;74.5103702300757;8.63193896121119;0.0205589281438469;5
SANSED06#C04Sd01;71.3783540108045;5206.95577171443;72.1592389906825;0.166252752504213;5
SANSED06#C04Sd02;55.6675089369423;3159.6435277048;56.2107065220213;0.1678999972598;5
SANSED06#C04Sd03;9.24778036727644;116.406292087808;10.7891747639849;0.0242429563284794;5
SANSED06#C05Sd01;106.265593418256;11455.1816582636;107.028882355482;0.336535491538457;5
SANSED06#C05Sd02;34.5740791780511;1307.03159912898;36.1528919884562;0.173621600301361;5
SANSED06#C05Sd03;30.9299965485391;1001.75566370255;31.6505239088162;0.148850260313744;5
SANSED06#D01Sd01;496.845943213952;252941.600067664;502.932997592785;0.350792782426664;5
